2016-03-26 18:19:03,688 TRACE [PluggableSchemaResolver] - Trying to resolve XML entity with public id [null] and system id [http://cxf.apache.org/schemas/jaxws.xsd]
2016-03-26 18:19:03,689 DEBUG [PluggableSchemaResolver] - Found XML schema [http://cxf.apache.org/schemas/jaxws.xsd] in classpath: schemas/jaxws.xsd
2016-03-26 18:19:03,726 DEBUG [DefaultBeanDefinitionDocumentReader] - Loading bean definitions
2016-03-26 18:19:03,751 INFO  [XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [META-INF/cxf/cxf.xml]
2016-03-26 18:19:03,757 DEBUG [DefaultDocumentLoader] - Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2016-03-26 18:19:03,763 TRACE [PluggableSchemaResolver] - Trying to resolve XML entity with public id [null] and system id [http://www.springframework.org/schema/beans/spring-beans.xsd]
2016-03-26 18:19:03,766 DEBUG [PluggableSchemaResolver] - Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-3.0.xsd
2016-03-26 18:19:03,799 DEBUG [DefaultBeanDefinitionDocumentReader] - Loading bean definitions
2016-03-26 18:19:03,837 DEBUG [XmlBeanDefinitionReader] - Loaded 4 bean definitions from location pattern [classpath:META-INF/cxf/cxf.xml]
2016-03-26 18:19:03,838 DEBUG [DefaultBeanDefinitionDocumentReader] - Imported 4 bean definitions from URL location [classpath:META-INF/cxf/cxf.xml]
2016-03-26 18:19:03,843 INFO  [XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [jdbcContext.xml]
2016-03-26 18:19:03,881 DEBUG [DefaultDocumentLoader] - Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2016-03-26 18:19:03,884 TRACE [PluggableSchemaResolver] - Trying to resolve XML entity with public id [null] and system id [http://www.springframework.org/schema/beans/spring-beans.xsd]
2016-03-26 18:19:03,886 DEBUG [PluggableSchemaResolver] - Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-3.0.xsd
2016-03-26 18:19:03,908 TRACE [PluggableSchemaResolver] - Trying to resolve XML entity with public id [null] and system id [http://www.springframework.org/schema/context/spring-context.xsd]
2016-03-26 18:19:03,909 DEBUG [PluggableSchemaResolver] - Found XML schema [http://www.springframework.org/schema/context/spring-context.xsd] in classpath: org/springframework/context/config/spring-context-3.0.xsd
2016-03-26 18:19:03,915 TRACE [PluggableSchemaResolver] - Trying to resolve XML entity with public id [null] and system id [http://www.springframework.org/schema/tool/spring-tool-3.0.xsd]
2016-03-26 18:19:03,917 DEBUG [PluggableSchemaResolver] - Found XML schema [http://www.springframework.org/schema/tool/spring-tool-3.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-3.0.xsd
2016-03-26 18:19:03,933 DEBUG [DefaultBeanDefinitionDocumentReader] - Loading bean definitions
2016-03-26 18:19:03,953 DEBUG [DefaultNamespaceHandlerResolver] - Loaded NamespaceHandler mappings: {http://www.springframework.org/schema/task=org.springframework.scheduling.config.TaskNamespaceHandler, http://www.springframework.org/schema/p=org.springframework.beans.factory.xml.SimplePropertyNamespaceHandler, http://www.springframework.org/schema/lang=org.springframework.scripting.config.LangNamespaceHandler, http://www.springframework.org/schema/util=org.springframework.beans.factory.xml.UtilNamespaceHandler, http://www.springframework.org/schema/c=org.springframework.beans.factory.xml.SimpleConstructorNamespaceHandler, http://cxf.apache.org/jaxws=org.apache.cxf.jaxws.spring.NamespaceHandler, http://www.springframework.org/schema/jee=org.springframework.ejb.config.JeeNamespaceHandler, http://www.springframework.org/schema/oxm=org.springframework.oxm.config.OxmNamespaceHandler, http://cxf.apache.org/transports/http/configuration=org.apache.cxf.transport.http.spring.NamespaceHandler, http://www.springframework.org/schema/tx=org.springframework.transaction.config.TxNamespaceHandler, http://cxf.apache.org/ws/addressing=org.apache.cxf.ws.addressing.spring.NamespaceHandler, http://cxf.apache.org/clustering=org.apache.cxf.clustering.spring.NamespaceHandler, http://cxf.apache.org/simple=org.apache.cxf.frontend.spring.NamespaceHandler, http://www.springframework.org/schema/jdbc=org.springframework.jdbc.config.JdbcNamespaceHandler, http://www.springframework.org/schema/aop=org.springframework.aop.config.AopNamespaceHandler, http://www.springframework.org/schema/context=org.springframework.context.config.ContextNamespaceHandler, http://cxf.apache.org/core=org.apache.cxf.bus.spring.NamespaceHandler, http://cxf.apache.org/jaxrs=org.apache.cxf.jaxrs.spring.NamespaceHandler, http://www.springframework.org/schema/cache=org.springframework.cache.config.CacheNamespaceHandler, http://cxf.apache.org/bindings/soap=org.apache.cxf.binding.soap.spring.NamespaceHandler}
2016-03-26 18:19:03,989 DEBUG [StandardEnvironment] - Initializing new StandardEnvironment
2016-03-26 18:19:03,990 DEBUG [StandardEnvironment] - Adding [systemProperties] PropertySource with lowest search precedence
2016-03-26 18:19:03,991 DEBUG [StandardEnvironment] - Adding [systemEnvironment] PropertySource with lowest search precedence
2016-03-26 18:19:03,993 DEBUG [StandardEnvironment] - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2016-03-26 18:19:04,026 DEBUG [PathMatchingResourcePatternResolver] - Looking for matching resources in directory tree [C:\Users\Veeru\git\febbatch2016\RestServiceImpl\target\classes\com\test]
2016-03-26 18:19:04,027 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestServiceImpl\target\classes\com\test] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestServiceImpl/target/classes/com/test/**/*.class]
2016-03-26 18:19:04,031 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestServiceImpl\target\classes\com\test\dao] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestServiceImpl/target/classes/com/test/**/*.class]
2016-03-26 18:19:04,034 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestServiceImpl\target\classes\com\test\service] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestServiceImpl/target/classes/com/test/**/*.class]
2016-03-26 18:19:04,039 DEBUG [PathMatchingResourcePatternResolver] - Looking for matching resources in directory tree [C:\Users\Veeru\git\febbatch2016\RestService\target\classes\com\test]
2016-03-26 18:19:04,040 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestService\target\classes\com\test] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestService/target/classes/com/test/**/*.class]
2016-03-26 18:19:04,041 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestService\target\classes\com\test\service] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestService/target/classes/com/test/**/*.class]
2016-03-26 18:19:04,044 DEBUG [PathMatchingResourcePatternResolver] - Looking for matching resources in directory tree [C:\Users\Veeru\git\febbatch2016\RestObjects\target\classes\com\test]
2016-03-26 18:19:04,045 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestObjects\target\classes\com\test] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestObjects/target/classes/com/test/**/*.class]
2016-03-26 18:19:04,046 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestObjects\target\classes\com\test\jaxb] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestObjects/target/classes/com/test/**/*.class]
2016-03-26 18:19:04,047 DEBUG [PathMatchingResourcePatternResolver] - Searching directory [C:\Users\Veeru\git\febbatch2016\RestObjects\target\classes\com\test\service] for files matching pattern [C:/Users/Veeru/git/febbatch2016/RestObjects/target/classes/com/test/**/*.class]
